year,month,weather_type,value
2001,03,max_snowfall,2
2002,03,max_snowfall,T
2003,03,max_snowfall,3.5
2004,03,max_snowfall,3.5
2005,03,max_snowfall,2.9
2006,03,max_snowfall,1.3
2007,03,max_snowfall,5.5
2008,03,max_snowfall,T
2009,03,max_snowfall,6.5
2010,03,max_snowfall,T
2011,03,max_snowfall,1
2012,03,max_snowfall,0
2013,03,max_snowfall,4
2014,03,max_snowfall,0.1
2015,03,max_snowfall,7.5
2016,03,max_snowfall,0.5
2017,03,max_snowfall,7.6
2018,03,max_snowfall,8.2
2019,03,max_snowfall,4
2020,03,max_snowfall,T
2021,03,max_snowfall,T
2022,03,max_snowfall,0.4
2023,03,max_snowfall,0.1
2024,03,max_snowfall,M
2000,03,max_temp,71
2001,03,max_temp,57
2002,03,max_temp,72
2003,03,max_temp,69
2004,03,max_temp,70
2005,03,max_temp,63
2006,03,max_temp,74
2007,03,max_temp,78
2008,03,max_temp,63
2009,03,max_temp,70
2010,03,max_temp,74
2011,03,max_temp,77
2012,03,max_temp,78
2013,03,max_temp,59
2014,03,max_temp,66
2015,03,max_temp,62
2016,03,max_temp,79
2017,03,max_temp,70
2018,03,max_temp,62
2019,03,max_temp,75
2020,03,max_temp,77
2021,03,max_temp,82
2022,03,max_temp,74
2023,03,max_temp,63
2024,03,max_temp,M
2000,03,min_temp,22
2001,03,min_temp,24
2002,03,min_temp,19
2003,03,min_temp,11
2004,03,min_temp,24
2005,03,min_temp,16
2006,03,min_temp,22
2007,03,min_temp,11
2008,03,min_temp,27
2009,03,min_temp,12
2010,03,min_temp,29
2011,03,min_temp,20
2012,03,min_temp,25
2013,03,min_temp,27
2014,03,min_temp,13
2015,03,min_temp,12
2016,03,min_temp,26
2017,03,min_temp,14
2018,03,min_temp,27
2019,03,min_temp,18
2020,03,min_temp,25
2021,03,min_temp,21
2022,03,min_temp,21
2023,03,min_temp,29
2024,03,min_temp,M
2000,03,total_percipitation,3.34
2001,03,total_percipitation,7.48
2002,03,total_percipitation,3.54
2003,03,total_percipitation,4.57
2004,03,total_percipitation,2.99
2005,03,total_percipitation,4.96
2006,03,total_percipitation,0.8
2007,03,total_percipitation,5.35
2008,03,total_percipitation,4.08
2009,03,total_percipitation,1.75
2010,03,total_percipitation,10.69
2011,03,total_percipitation,6.19
2012,03,total_percipitation,0.96
2013,03,total_percipitation,2.9
2014,03,total_percipitation,3.67
2015,03,total_percipitation,4.72
2016,03,total_percipitation,1.17
2017,03,total_percipitation,5.25
2018,03,total_percipitation,5.17
2019,03,total_percipitation,3.87
2020,03,total_percipitation,3.78
2021,03,total_percipitation,3.41
2022,03,total_percipitation,2.39
2023,03,total_percipitation,3.32
2024,03,total_percipitation,M
2000,03,total_snow_depth,0
2001,03,total_snow_depth,8
2002,03,total_snow_depth,0
2003,03,total_snow_depth,7
2004,03,total_snow_depth,8
2005,03,total_snow_depth,35
2006,03,total_snow_depth,2
2007,03,total_snow_depth,10
2008,03,total_snow_depth,0
2009,03,total_snow_depth,25
2010,03,total_snow_depth,22
2011,03,total_snow_depth,1
2012,03,total_snow_depth,0
2013,03,total_snow_depth,6
2014,03,total_snow_depth,39
2015,03,total_snow_depth,160
2016,03,total_snow_depth,0
2017,03,total_snow_depth,26
2018,03,total_snow_depth,14
2019,03,total_snow_depth,15
2020,03,total_snow_depth,0
2021,03,total_snow_depth,0
2022,03,total_snow_depth,0
2023,03,total_snow_depth,1
2024,03,total_snow_depth,M
2000,03,total_snowfall,0.4
2001,03,total_snowfall,3.8
2002,03,total_snowfall,T
2003,03,total_snowfall,3.5
2004,03,total_snowfall,4.8
2005,03,total_snowfall,6.9
2006,03,total_snowfall,1.3
2007,03,total_snowfall,6
2008,03,total_snowfall,T
2009,03,total_snowfall,8.3
2010,03,total_snowfall,T
2011,03,total_snowfall,1
2012,03,total_snowfall,0
2013,03,total_snowfall,7.3
2014,03,total_snowfall,0.1
2015,03,total_snowfall,18.6
2016,03,total_snowfall,0.9
2017,03,total_snowfall,9.7
2018,03,total_snowfall,11.6
2019,03,total_snowfall,10.4
2020,03,total_snowfall,T
2021,03,total_snowfall,T
2022,03,total_snowfall,0.4
2023,03,total_snowfall,0.1
2024,03,total_snowfall,M
2000,04,average_percipitation,0.12
2001,04,average_percipitation,0.05
2002,04,average_percipitation,0.11
2003,04,average_percipitation,0.11
2004,04,average_percipitation,0.14
2005,04,average_percipitation,0.16
2006,04,average_percipitation,0.19
2007,04,average_percipitation,0.44
2008,04,average_percipitation,0.09
2009,04,average_percipitation,0.16
2010,04,average_percipitation,0.1
2011,04,average_percipitation,0.18
2012,04,average_percipitation,0.12
2013,04,average_percipitation,0.04
2014,04,average_percipitation,0.26
2015,04,average_percipitation,0.07
2016,04,average_percipitation,0.05
2017,04,average_percipitation,0.13
2018,04,average_percipitation,0.19
2019,04,average_percipitation,0.15
2020,04,average_percipitation,0.15
2021,04,average_percipitation,0.09
2022,04,average_percipitation,0.15
2023,04,average_percipitation,0.26
2024,04,average_percipitation,M
2000,04,avg_temp,51.0
2001,04,avg_temp,53.9
2002,04,avg_temp,56.1
2003,04,avg_temp,49.8
2004,04,avg_temp,53.6
2005,04,avg_temp,55.1
2006,04,avg_temp,55.7
2007,04,avg_temp,50.3
2008,04,avg_temp,55.0
2009,04,avg_temp,54.5
2010,04,avg_temp,57.9
2011,04,avg_temp,54.3
2012,04,avg_temp,54.8
2013,04,avg_temp,53.0
2014,04,avg_temp,52.3
2015,04,avg_temp,54.3
2016,04,avg_temp,53.3
2017,04,avg_temp,57.2
2018,04,avg_temp,49.5
2019,04,avg_temp,55.5
2020,04,avg_temp,50.4
2021,04,avg_temp,54.6
2022,04,avg_temp,52.8
2023,04,avg_temp,57.6
2000,04,max_precipitation,1.62
2001,04,max_precipitation,0.6
2002,04,max_precipitation,1.64
2003,04,max_precipitation,0.66
2004,04,max_precipitation,1.29
2005,04,max_precipitation,1.8
2006,04,max_precipitation,2.34
2007,04,max_precipitation,7.57
2008,04,max_precipitation,1.18
2009,04,max_precipitation,1.79
2010,04,max_precipitation,1.6
2011,04,max_precipitation,1.45
2012,04,max_precipitation,2.45
2013,04,max_precipitation,0.63
2014,04,max_precipitation,4.97
2015,04,max_precipitation,1.37
2016,04,max_precipitation,0.47
2017,04,max_precipitation,1.18
2018,04,max_precipitation,2.82
2019,04,max_precipitation,1.03
2020,04,max_precipitation,1.92
2021,04,max_precipitation,0.83
2022,04,max_precipitation,1.24
2023,04,max_precipitation,2.46
2024,04,max_precipitation,M
2000,04,max_snow_depth,1
2001,04,max_snow_depth,0
2002,04,max_snow_depth,0
2003,04,max_snow_depth,4
2004,04,max_snow_depth,0
2005,04,max_snow_depth,0
2006,04,max_snow_depth,0
2007,04,max_snow_depth,0
2008,04,max_snow_depth,0
2009,04,max_snow_depth,0
2010,04,max_snow_depth,0
2011,04,max_snow_depth,0
2012,04,max_snow_depth,0
2013,04,max_snow_depth,0
2014,04,max_snow_depth,0
2015,04,max_snow_depth,0
2016,04,max_snow_depth,0
2017,04,max_snow_depth,0
2018,04,max_snow_depth,5
2019,04,max_snow_depth,0
2020,04,max_snow_depth,0
2021,04,max_snow_depth,0
2022,04,max_snow_depth,0
2023,04,max_snow_depth,0
2024,04,max_snow_depth,M
2000,04,max_snowfall,1.2
2001,04,max_snowfall,0
2002,04,max_snowfall,T
2003,04,max_snowfall,4
2004,04,max_snowfall,0
2005,04,max_snowfall,0
2006,04,max_snowfall,0.1
2007,04,max_snowfall,T
2008,04,max_snowfall,0
2009,04,max_snowfall,T
2010,04,max_snowfall,0
2011,04,max_snowfall,T
2012,04,max_snowfall,0
2013,04,max_snowfall,0
2014,04,max_snowfall,T
2015,04,max_snowfall,0
2016,04,max_snowfall,T
2017,04,max_snowfall,0
2018,04,max_snowfall,5.5
2019,04,max_snowfall,0
2020,04,max_snowfall,T
2021,04,max_snowfall,0
2022,04,max_snowfall,0
2023,04,max_snowfall,0
2024,04,max_snowfall,M
2000,04,max_temp,75
2001,04,max_temp,87
2002,04,max_temp,96
2003,04,max_temp,88
2004,04,max_temp,85
2005,04,max_temp,87
2006,04,max_temp,83
2007,04,max_temp,86
2008,04,max_temp,84
2009,04,max_temp,92
2010,04,max_temp,92
2011,04,max_temp,83
2012,04,max_temp,88
2013,04,max_temp,82
2014,04,max_temp,77
2015,04,max_temp,80
2016,04,max_temp,82
2017,04,max_temp,87
2018,04,max_temp,82
2019,04,max_temp,80
2020,04,max_temp,68
2021,04,max_temp,85
2022,04,max_temp,79
2023,04,max_temp,91
2024,04,max_temp,M
2000,04,min_temp,30
2001,04,min_temp,34
2002,04,min_temp,30
2003,04,min_temp,30
2004,04,min_temp,29
2005,04,min_temp,37
2006,04,min_temp,33
2007,04,min_temp,30
2008,04,min_temp,33
2009,04,min_temp,34
2010,04,min_temp,40
2011,04,min_temp,35
2012,04,min_temp,38
2013,04,min_temp,33
2014,04,min_temp,31
2015,04,min_temp,32
2016,04,min_temp,26
2017,04,min_temp,37
2018,04,min_temp,32
2019,04,min_temp,33
2020,04,min_temp,36
2021,04,min_temp,28
2022,04,min_temp,38
2023,04,min_temp,37
2024,04,min_temp,M
2000,04,total_percipitation,3.53
2001,04,total_percipitation,1.58
2002,04,total_percipitation,3.41
2003,04,total_percipitation,3.2
2004,04,total_percipitation,4.11
2005,04,total_percipitation,4.81
2006,04,total_percipitation,5.56
2007,04,total_percipitation,13.05
2008,04,total_percipitation,2.77
2009,04,total_percipitation,4.69
2010,04,total_percipitation,2.99
2011,04,total_percipitation,5.35
2012,04,total_percipitation,3.56
2013,04,total_percipitation,1.31
2014,04,total_percipitation,7.85
2015,04,total_percipitation,2.08
