boro,street,yr,m,sum_vol,count_requestid
Queens,GATES AVENUE,2019,2,6755,672
Staten Island,JUMEL ST,2013,11,5553,3834
Queens,88 STREET,2015,10,33262,2208
Queens,JUNCTION BOULEVARD,2017,10,103502,1536
Manhattan,3 AV,2011,8,1073964,4387
Manhattan,COLUMBUS AVENUE,2018,10,433357,2270
Queens,CROSS BAY BOULEVARD,2012,2,67577,492
Bronx,WEST 180 STREET,2015,11,11640,1440
Manhattan,E 72 ST,2014,7,153728,3868
Brooklyn,TERRACE PLACE,2014,12,1695,711
Brooklyn,AVENUE K,2017,2,32935,1170
Brooklyn,11 AVENUE,2016,10,4841,101
Bronx,EAST 241 STREET,2016,3,82046,1152
Queens,WHITESTONE EXPRESSWAY ET 14 NB,2016,6,255719,2064
Staten Island,BRADLEY AVENUE,2017,12,2395,99
Queens,BEACH 98 STREET,2015,10,5379,393
Bronx,CROSS BRONX EXPWY ET 4 B EB,2018,10,13826,192
Brooklyn,W 9 ST,2011,9,5476,124
Brooklyn,RUTLAND ROAD,2016,9,48302,1344
Manhattan,W 125 ST,2012,9,330770,3637
Queens,59 AVENUE,2012,2,84086,1340
Manhattan,C P 7 AV APPR,2012,10,19236,1882
Brooklyn,W/B 60 ST @ 9 AVE,2009,9,41412,908
Brooklyn,MC DONALD AVENUE,2012,1,188090,3894
Brooklyn,FOUNTAIN AVENUE,2017,4,134876,1728
Bronx,3 AVENUE,2020,10,127522,1728
Brooklyn,MORGAN AVENUE,2017,11,28632,720
Manhattan,N/B 1ST AVE (THROUGH LANES) @ E 14 ST,2010,11,252135,1022
Queens,FAIRVIEW AVENUE,2017,1,20404,381
Brooklyn,W/B GRAND ST BR @ GARDNER AVE,2010,4,97963,1570
Manhattan,12 AVENUE,2015,11,297214,864
Queens,REDDING STREET,2015,6,12709,672
Bronx,PITMAN AVENUE,2019,11,78326,1728
Queens,39 STREET,2016,6,156731,2688
Queens,LINDEN BOULEVARD,2016,3,88070,743
Brooklyn,VAN SICKLEN STREET,2017,11,9034,576
Staten Island,STATEN ISLAND RAILWAY LINE,2015,5,2493,24
Manhattan,11 AV,2014,2,111195,2659
Queens,BABBAGE STREET,2015,6,7237,768
Brooklyn,BENSON AVENUE,2015,10,12245,763
Queens,SELFRIDGE STREET,2015,5,6389,588
Manhattan,PARK AVENUE,2016,11,48584,364
Manhattan,CENTRAL PARK WEST,2019,11,12819,316
Queens,COMMONWEALTH BOULEVARD,2015,10,43577,1536
Brooklyn,BROOKLYN QUEENS EXPWY ET 30 EB,2016,9,92243,741
Manhattan,W 137 ST,2014,1,6363,672
Staten Island,RICHMOND TER,2014,5,362854,5734
Bronx,BOSTON ROAD,2017,10,23988,192
Brooklyn,VERMONT STREET,2015,7,19547,970
Staten Island,CLEVELAND PL,2014,4,1655,397
Bronx,UNION PORT BRIDGE,2018,4,878186,3075
Bronx,GRAND CONCOURSE,2019,10,319123,2688
Brooklyn,N/B 7 AVE @ 1 ST,2010,4,119765,2266
Bronx,PELHAM PARKWAY SOUTH,2017,11,620436,9172
Brooklyn,STILLWELL AVE APPROACHING AVE P,2009,10,83020,1214
Brooklyn,S/B WASHINGTON AVE @ EASTERN PKWY,2011,2,60535,633
Queens,METROPOLITAN AVENUE,2012,1,56747,593
Brooklyn,TOMPKINS AV,2014,6,70667,730
Manhattan,YORK AVE BET E 72ND ST & E 73RD ST,2010,3,289083,2363
Queens,N/B 243 ST @ MEMPHIS AVE,2009,12,5564,331
Staten Island,ARTHUR KILL ROAD,2015,11,986784,8640
Bronx,3 AVENUE BRIDGE,2018,9,107551,314
